DesignVariation : L1='26.167um'
Solution : Setup1 : LastAdaptive
Parameter : Matrix1
Capacitance Unit: pF

Capacitance
		GND	PIN1	PIN2	PIN3	PIN4
	GND	0.20226	-0.05791	-0.055866	-0.040663	-0.047825
	PIN1	-0.05791	0.096258	-0.036835	-0.0011387	-0.00037387
	PIN2	-0.055866	-0.036835	0.10253	-0.00013149	-0.0096964
	PIN3	-0.040663	-0.0011387	-0.00013149	0.041946	-1.2627E-005
	PIN4	-0.047825	-0.00037387	-0.0096964	-1.2627E-005	0.057908

Capacitive Coupling Coefficient
		GND	PIN1	PIN2	PIN3	PIN4
	GND	1	-0.41503	-0.38794	-0.44146	-0.4419
	PIN1	-0.41503	1	-0.37079	-0.01792	-0.0050077
	PIN2	-0.38794	-0.37079	1	-0.0020051	-0.12584
	PIN3	-0.44146	-0.01792	-0.0020051	1	-0.00025621
	PIN4	-0.4419	-0.0050077	-0.12584	-0.00025621	1

